Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
02/15/1985,-0.352584700838431,-0.360519514264216,-0.317339171789687,-0.0710328885584818,-0.0916384662052829,0.720387405973669
02/22/1985,-0.330322942296584,-0.326379548276439,-0.295339633022621,-0.0702395381533433,-0.10205033322467,0.726983020640793
03/01/1985,-0.306472921429319,-0.301131278971332,-0.273920043088805,-0.062545530328442,-0.107615980061325,0.733013475583857
03/08/1985,-0.284317823241378,-0.286408331721508,-0.256748563957007,-0.0484538227392297,-0.108422469525119,0.738426686202655
03/15/1985,-0.266590839610087,-0.278404102265606,-0.246424198942907,-0.0288690982169116,-0.105193245817297,0.743180437610673
03/22/1985,-0.254372882278324,-0.271654265076411,-0.243665280820407,-0.00508180560123598,-0.0988140177709918,0.747246946089266
03/29/1985,-0.249460157489268,-0.26662744092652,-0.249644013207147,0.0213030308686643,-0.0903467267241322,0.750613817883713
04/05/1985,-0.254226387384335,-0.270784346024014,-0.265769803085526,0.0483925792938349,-0.0809121624092107,0.753277900366767
04/12/1985,-0.268409070856084,-0.289938965669632,-0.290942281043003,0.0742371372273372,-0.0713533928412627,0.755254898306434
04/19/1985,-0.291350715147285,-0.329412072727229,-0.323779570897847,0.0969483173173254,-0.0622822723495448,0.756566584172159
04/26/1985,-0.320643279944932,-0.387765468881175,-0.36123352213594,0.114803173781839,-0.0541267496019012,0.757242682217059
05/03/1985,-0.35251886069337,-0.456252515656045,-0.399128294595687,0.12627251284271,-0.0468889160214662,0.757323411564965
05/10/1985,-0.384910684096766,-0.525767296758959,-0.434971273604993,0.130134186549286,-0.0404264551376339,0.756863679442931
05/17/1985,-0.412930060219959,-0.578995297542866,-0.463169373614749,0.125369596114017,-0.0348922945709273,0.755933836330289
05/24/1985,-0.435165848753964,-0.608793496697238,-0.48198497673199,0.11148219835179,-0.0299963055670709,0.754622303596756
05/31/1985,-0.45019698240401,-0.609956461796814,-0.48987418338949,0.0885875696702867,-0.025583315183684,0.753035894379444
06/07/1985,-0.457011690212263,-0.580558046047123,-0.486202659764481,0.057430321313498,-0.0212797711664022,0.751299028434095
06/14/1985,-0.45510870488078,-0.526047281345343,-0.471258465594709,0.0194213339910893,-0.0169558626521053,0.749555863276548
06/21/1985,-0.445653777034867,-0.455515858133523,-0.447483408976312,-0.0235952237154131,-0.0122481212309753,0.7479688880585
06/28/1985,-0.42934553358652,-0.377877428285349,-0.41669222268661,-0.0695815654577443,-0.00736982444018501,0.746714706243385
07/05/1985,-0.408263240778804,-0.303591857649604,-0.382259680801981,-0.116398193659754,-0.00235477913133004,0.745983483841628
07/12/1985,-0.383265723743868,-0.239607149097626,-0.345804337996648,-0.162152002277258,0.00195663637055249,0.74598123855042
07/19/1985,-0.354787840964085,-0.184761206165081,-0.308409410160506,-0.205147361159889,0.00505485085719468,0.746881361265324
07/26/1985,-0.323099900745231,-0.136810331601336,-0.270639223272616,-0.244030342854808,0.00627925039120607,0.748839381257773
08/02/1985,-0.288881079269902,-0.0925700730740032,-0.232956833330518,-0.277937707714587,0.00502634004326658,0.751968869265523
08/09/1985,-0.252204585207244,-0.0471797138379535,-0.195026598908091,-0.306395080681774,0.000757052883734093,0.756328911212164
08/16/1985,-0.21461642995579,-4.88901111747571e-05,-0.1574404987103,-0.329538686014275,-0.00695152806270844,0.761926786408344
08/23/1985,-0.178775912996951,0.0475884681077291,-0.122058805044434,-0.34766393103849,-0.0182727486796467,0.768721510940006
08/30/1985,-0.147394671044934,0.0929468901954372,-0.0906701405369598,-0.361277092796219,-0.0334652391912707,0.776624289539277
09/06/1985,-0.123567101208459,0.131116448443627,-0.0658715063727705,-0.370855038038507,-0.0524074732500438,0.785500192676748
09/13/1985,-0.110105930217637,0.15629936340012,-0.0503664136796552,-0.37676287639805,-0.074819859811167,0.795160894333873
09/20/1985,-0.109448616595945,0.162082108387449,-0.0468909241456436,-0.379298074747989,-0.100011706862578,0.805359422705288
09/27/1985,-0.121500331641194,0.144699329230678,-0.055941282374439,-0.37875036866995,-0.127168056297354,0.815802875673202
10/04/1985,-0.145927470362343,0.101722309417983,-0.07777569201981,-0.37547546572208,-0.155378944182538,0.826168063641167
10/11/1985,-0.179508857485784,0.0388594826722053,-0.110134205761951,-0.369967323469389,-0.183310145105699,0.836084400747249
10/18/1985,-0.218165950774262,-0.0344091946929504,-0.149361951638946,-0.362789945132857,-0.210041361182282,0.845229426564089
10/25/1985,-0.256795707723625,-0.105320525372043,-0.190395838050456,-0.354679628077342,-0.234883137144357,0.853309535430212
11/01/1985,-0.290298933137617,-0.159768413774555,-0.227729471949074,-0.346513468184071,-0.257245729336836,0.860082147971248
11/08/1985,-0.314407671755653,-0.187682179068013,-0.256562933183526,-0.339074287299952,-0.276903687040062,0.865369858588139
11/15/1985,-0.327195183811207,-0.18591201847593,-0.27373911959567,-0.333329979996422,-0.29378802884808,0.869054841641872
11/22/1985,-0.328129264381349,-0.15739502651473,-0.277963743244212,-0.329998081305248,-0.307884798038337,0.871070764374196
11/29/1985,-0.319543965898645,-0.113756453110052,-0.270771176416582,-0.329705230399269,-0.319283563634917,0.871404282700936
12/06/1985,-0.305072783383636,-0.0680448676946221,-0.255362402770253,-0.332889702945899,-0.327907189232714,0.870095810793797
12/13/1985,-0.288320974599157,-0.0300591923041154,-0.235475456842106,-0.339631669581164,-0.333594922541414,0.86724585584616
12/20/1985,-0.273087822180867,-0.00600345102182489,-0.214945324496035,-0.349861359433263,-0.336528915663985,0.863020315701934
12/27/1985,-0.260180204829486,0.00742836048370555,-0.195368107583467,-0.363147583479219,-0.336566731765772,0.857636833488753
01/03/1986,-0.25252184883513,0.00956633050253786,-0.180345474164448,-0.378858074595757,-0.333851430743315,0.851331493902226
01/10/1986,-0.249755528406015,0.00361151580975471,-0.170815222591346,-0.396101577532731,-0.328396532716759,0.844381054668541
01/17/1986,-0.251931782625961,-0.0112818817792338,-0.167496389842822,-0.413924513633457,-0.320804561904819,0.837026065951585
01/24/1986,-0.258609103788154,-0.0379949081412151,-0.17092130457547,-0.431459410628335,-0.311140247670597,0.829480399672042
01/31/1986,-0.269413589142377,-0.0787504501756626,-0.180780898547159,-0.448180708526579,-0.29989533274589,0.821925857056688
02/07/1986,-0.281557922080949,-0.126059435007364,-0.194461757044314,-0.463601929437636,-0.28753893116364,0.814508943785224
02/14/1986,-0.292592842435813,-0.167198610517907,-0.208686738324774,-0.477870479022818,-0.274614422989291,0.807343028184314
02/21/1986,-0.300470780504144,-0.190664236546103,-0.220727092053368,-0.491141120119947,-0.261803701112419,0.800513796304484
02/28/1986,-0.304603776521781,-0.188259051879151,-0.229070536111609,-0.50375141209393,-0.249831524169806,0.794080227213388
03/07/1986,-0.306393294166663,-0.160756554795673,-0.234235131793954,-0.516102563515825,-0.239347836432197,0.788076848123922
03/14/1986,-0.309165340977717,-0.120847797100964,-0.238957061963313,-0.528355587934973,-0.230934313312176,0.782520011934804
03/21/1986,-0.316492069647728,-0.0848259508438673,-0.246124495354262,-0.540828661280208,-0.22479745590096,0.777414376021081
03/28/1986,-0.331939091104342,-0.0686384394670782,-0.259133053695685,-0.553558593433646,-0.220656078792385,0.772760399924646
04/04/1986,-0.357742974200007,-0.080745619465567,-0.27999805685198,-0.566488487156902,-0.218146108946562,0.76856031595912
04/11/1986,-0.391087053290875,-0.113689025170211,-0.306396202430101,-0.579165914497545,-0.216443220461087,0.764826389297263
04/18/1986,-0.428493287074183,-0.153035344828507,-0.335556132753442,-0.590824454352698,-0.214588100600617,0.761557919844463
04/25/1986,-0.465640364955505,-0.183955035806352,-0.364301683608584,-0.600347837138203,-0.211447765865308,0.758754872735896
05/02/1986,-0.497195387788397,-0.191928376904488,-0.388623622779204,-0.606463761705621,-0.205770524208966,0.756410502843975
05/09/1986,-0.519472794343004,-0.172897194964682,-0.406448977610842,-0.607670930740057,-0.196502311476947,0.754515488254041
05/16/1986,-0.53060044009235,-0.132308676560323,-0.41659344766112,-0.603091586060795,-0.182762190689138,0.753064621591325
05/23/1986,-0.530245192063457,-0.0759650449023923,-0.419644748789787,-0.592049659719692,-0.163891664475577,0.752063784039036
05/30/1986,-0.519849911338938,-0.0109206393963394,-0.417016963843199,-0.574659283953393,-0.139895105126652,0.751531635301195
06/06/1986,-0.502134497753561,0.0582591703008899,-0.410929978470301,-0.551689256403954,-0.111186412426471,0.751499762432942
06/13/1986,-0.480429830954987,0.128309886897087,-0.403771625277237,-0.524566534986196,-0.078397635306841,0.752012255796121
06/20/1986,-0.46024797069889,0.192140277663616,-0.3993505791812,-0.4953969644977,-0.0425680443223146,0.753124653120779
06/27/1986,-0.446945495877296,0.240229508228163,-0.401388060888264,-0.466499924167354,-0.0045329541631103,0.754903170659952
07/04/1986,-0.443745374870482,0.263850153033179,-0.411596461908599,-0.440174141740967,0.0349657890314718,0.757436585000629
07/11/1986,-0.451812804994245,0.25631530287995,-0.429973937734833,-0.418463748501615,0.0754850719597628,0.760831074590653
07/18/1986,-0.471599659790516,0.212561091389924,-0.456546851121001,-0.402704613426398,0.116770013030346,0.765192423899857
07/25/1986,-0.500061071768043,0.135968502915093,-0.488333044176182,-0.393590478506312,0.158689582401791,0.770632178729094
08/01/1986,-0.53281997284198,0.036695539007369,-0.521138673153576,-0.391370611313532,0.201226809683158,0.777246128993984
08/08/1986,-0.56428504710778,-0.0697467791017695,-0.550136254464974,-0.395240754642959,0.244285228916743,0.785101715535727
08/15/1986,-0.590428280333497,-0.165794035210084,-0.571215840828347,-0.404503008167523,0.287780306332245,0.794236417689261
08/22/1986,-0.606312943135309,-0.232795833396238,-0.580133934526327,-0.41753649170846,0.331545722041127,0.804657019947598
08/29/1986,-0.609343423585614,-0.258777523430288,-0.575023796693684,-0.432325375059177,0.375388139744131,0.816336262943252
09/05/1986,-0.599892687984061,-0.242118126227816,-0.557060684313944,-0.446656174437925,0.419094782378486,0.829209394785265
09/12/1986,-0.580382092824047,-0.188835009952278,-0.52972911578666,-0.458193978648987,0.462296242610019,0.843160949843523
09/19/1986,-0.557838122646392,-0.121454231469126,-0.500631311150185,-0.46511644297249,0.504590519181683,0.858012971746711
09/26/1986,-0.536970578876273,-0.0593404710942824,-0.474689301598716,-0.466186727971651,0.545541485177204,0.873530988070731
10/03/1986,-0.522182089179932,-0.0175526049605701,-0.455939204252499,-0.460894791692713,0.58451187555349,0.889446532932265
10/10/1986,-0.516197055202905,-0.00657230347640889,-0.446992141130115,-0.44925121398825,0.621295756733479,0.905429971834804
10/17/1986,-0.518244126887596,-0.0233539175034929,-0.44683265121012,-0.431671101114041,0.655253119614625,0.921197439881874
10/24/1986,-0.524847955476574,-0.0566003401584025,-0.452505603759877,-0.408804967899617,0.686129468704396,0.936486065299045
10/31/1986,-0.533842198145687,-0.0963796926202422,-0.462174998673471,-0.381694182741278,0.713318129936559,0.951074224809322
11/07/1986,-0.542687979617152,-0.132453612510068,-0.473898524199139,-0.351263959549081,0.736108827477722,0.964786194902323
11/14/1986,-0.549878164144567,-0.156583560007634,-0.485777851061195,-0.31957025849227,0.753556859078111,0.977482315694146
11/21/1986,-0.55271380332822,-0.163843915473162,-0.495061884698551,-0.287788097623822,0.764710939826615,0.989046863860372
11/28/1986,-0.550269581828149,-0.153612128763823,-0.500068641114755,-0.25733794267012,0.768602480562863,0.999386565179826
12/05/1986,-0.541696841966883,-0.127346375048904,-0.499333196995418,-0.229159728774407,0.764512127934895,1.00842911797386
12/12/1986,-0.527724213947976,-0.0923065274904504,-0.493532465806429,-0.203505894887694,0.752027997182738,1.01612320577912
12/19/1986,-0.509861649536991,-0.0561685141845714,-0.48370980980569,-0.180545488037823,0.731050149672753,1.02243816360107
12/26/1986,-0.491789625931682,-0.0303412934793268,-0.472999603597346,-0.160478811564104,0.70191034576258,1.02735530145337
01/02/1987,-0.479450521434134,-0.0282698751998166,-0.466220853378218,-0.143750285916692,0.66492383755583,1.03084456385684
01/09/1987,-0.473540974179674,-0.0470313247337493,-0.463564766166197,-0.130828389553811,0.621520051389036,1.0328767281439
01/16/1987,-0.474099598041083,-0.0802363516868213,-0.463098984761865,-0.122613300177534,0.572150128656529,1.03342193789911
01/23/1987,-0.477939954360801,-0.116133167399362,-0.461790852338691,-0.11922668108647,0.518858397240967,1.03244903162478
01/30/1987,-0.481841362433459,-0.140805077245009,-0.456147802378194,-0.120549533423105,0.463084300509393,1.02994636145507
02/06/1987,-0.481525802155757,-0.146156582089691,-0.442251178100763,-0.126074101260122,0.406523993869511,1.02593158679383
02/13/1987,-0.475267908704494,-0.132795165358278,-0.419144529738899,-0.134962530108829,0.350737089435319,1.02045045713817
02/20/1987,-0.460759042951101,-0.108951262774695,-0.384659311744588,-0.146643624971728,0.296952174478418,1.01357504801512
02/27/1987,-0.438167122618211,-0.089075990002542,-0.339106476271409,-0.160716877089395,0.245996813082822,1.00540327968216
03/06/1987,-0.403711614527379,-0.0771781131654444,-0.279205009005208,-0.176772563464596,0.198460144547416,0.996059417158523
03/13/1987,-0.35051599453464,-0.0644730613818396,-0.198971633269617,-0.194350761487578,0.154677666390906,0.985704625470398
03/20/1987,-0.274266411807914,-0.0362684472887236,-0.094441820191723,-0.212751011790443,0.114830116706451,0.974544059659349
03/27/1987,-0.173997885556616,0.0231972102841817,0.033990151286592,-0.230972050930473,0.0789852437992741,0.962823616550196
04/03/1987,-0.0521301140695413,0.128124927600513,0.183423721197035,-0.247929904048131,0.0471015466855137,0.950807109342979
04/10/1987,0.0823141227021339,0.278898313500892,0.34446589322288,-0.262445881926051,0.0190409264284245,0.938801834543235
04/17/1987,0.220435794970669,0.468693760381866,0.507835474992339,-0.27385592457195,-0.00558391740122384,0.927061751333539
04/24/1987,0.350819727163358,0.67722000881962,0.661396967679879,-0.281715052664914,-0.0268674398680974,0.915813866592807
05/01/1987,0.463868102410354,0.878964434410212,0.794902095523621,-0.285774168933778,-0.0454138823630395,0.905238366299716
05/08/1987,0.55745787372888,1.05736753280785,0.904730217627259,-0.286126244745153,-0.0614255838126584,0.895466332687788
05/15/1987,0.62371234756531,1.18755634510095,0.982615160555748,-0.283077886714267,-0.0753061216792637,0.886589480734262
05/22/1987,0.662111008884303,1.26266326154832,1.02805190126585,-0.277127146522637,-0.0872935341884035,0.87867142806106
05/29/1987,0.665361697896312,1.26720315642195,1.03380473640071,-0.2691148193634,-0.0973455882873091,0.871751189177245
06/05/1987,0.637964689928547,1.21276910016117,1.00503284001734,-0.260199446251232,-0.105414331180206,0.865845743298893
06/12/1987,0.585881761706539,1.11743610928281,0.948060177185215,-0.251676643737589,-0.110879966455195,0.860950684931713
06/19/1987,0.515423716571184,0.998369347563573,0.869721139184031,-0.244865416021483,-0.11282860739086,0.857040303658642
06/26/1987,0.439823831248646,0.881580158330788,0.781728738042283,-0.240919045652524,-0.110082415405854,0.85407742345463
07/03/1987,0.365142212773496,0.779186294382432,0.693267553993946,-0.240618569355488,-0.101189265207663,0.852020774107016
07/10/1987,0.294798906420752,0.691169928596045,0.607539929963196,-0.244485523401692,-0.0843462854238141,0.850831566393061
07/17/1987,0.225493011411485,0.606894981682626,0.525223808184826,-0.252628382543356,-0.0580638155180714,0.850464636361958
07/24/1987,0.156173513765707,0.51809226825179,0.447536298378377,-0.264472525030026,-0.0207379739272284,0.85088249375653
07/31/1987,0.0919909585800395,0.425364384877276,0.380520208100123,-0.278991206739455,0.0288506768809616,0.852039679013735
08/07/1987,0.0418770855266978,0.341405116756073,0.333089695079273,-0.294809718176963,0.0915668751656165,0.85388289127429
08/14/1987,0.0136409901717593,0.277669107114049,0.312562223233311,-0.30991994823554,0.167637076990802,0.856350118850516
