"date";"Valor_Real";"Valor_Predicho";"Modelo";"Version";"RMSE";"Hyperparámetros";"Tipo_Mercado";"Periodo"
"19/04/2014";"0,0";"0,0";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"20/04/2014";"0,0";"0,0";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"21/04/2014";"-0,001594";"-0,001594";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"22/04/2014";"0,00087";"0,00087";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"23/04/2014";"0,000941";"0,000941";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"24/04/2014";"0,001013";"0,001013";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"25/04/2014";"7,2e-05";"7,2e-05";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"26/04/2014";"0,0";"0,0";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"27/04/2014";"0,0";"0,0";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"28/04/2014";"0,001301";"0,001301";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
"29/04/2014";"-0,002748";"-0,002748";"ARIMA";"1.0";"nan";"""{""order"": ""(0, 0, 1)"", ""seasonal_order"": ""None""}""";"EURUSD";"Training"
