"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"29.02.2024","2.054,84","2.060,73","2.072,97","2.044,80","","0,71%"
"28.02.2024","2.040,31","2.043,04","2.053,52","2.038,63","","-0,77%"
"27.02.2024","2.056,11","2.046,57","2.058,06","2.045,37","","1,34%"
"26.02.2024","2.028,97","2.012,93","2.031,96","2.011,86","","0,61%"
"23.02.2024","2.016,69","2.011,45","2.026,43","2.004,64","","0,14%"
"22.02.2024","2.013,84","2.003,51","2.016,83","1.998,80","","0,96%"
"21.02.2024","1.994,74","1.993,44","1.997,60","1.982,44","","-0,47%"
"20.02.2024","2.004,14","2.008,78","2.011,53","1.998,09","","-1,41%"
"16.02.2024","2.032,74","2.049,88","2.052,98","2.032,16","","-1,39%"
"15.02.2024","2.061,48","2.027,53","2.062,80","2.027,06","","2,45%"
"14.02.2024","2.012,10","1.992,13","2.014,06","1.983,10","","2,44%"
"13.02.2024","1.964,17","1.987,26","1.992,98","1.950,47","","-3,96%"
"12.02.2024","2.045,26","2.014,69","2.052,00","2.014,69","","1,75%"
"09.02.2024","2.009,99","1.984,11","2.010,77","1.984,11","","1,53%"
"08.02.2024","1.979,70","1.949,76","1.980,15","1.948,64","","1,50%"
"07.02.2024","1.950,36","1.954,36","1.958,07","1.939,97","","-0,17%"
"06.02.2024","1.953,63","1.936,77","1.954,04","1.932,08","","0,85%"
"05.02.2024","1.937,24","1.951,77","1.951,77","1.921,36","","-1,30%"
"02.02.2024","1.962,73","1.950,78","1.971,51","1.944,60","","-0,59%"
"01.02.2024","1.974,42","1.959,58","1.974,42","1.936,23","","1,39%"
"31.01.2024","1.947,34","1.989,32","2.003,15","1.946,89","","-2,45%"
"30.01.2024","1.996,24","2.002,36","2.005,22","1.990,82","","-0,76%"
"29.01.2024","2.011,42","1.978,14","2.011,65","1.972,78","","1,67%"
"26.01.2024","1.978,33","1.986,67","1.993,44","1.974,63","","0,12%"
"25.01.2024","1.975,88","1.987,25","1.989,21","1.963,89","","0,71%"
"24.01.2024","1.961,86","2.000,18","2.000,18","1.960,48","","-0,73%"
"23.01.2024","1.976,27","2.000,59","2.001,14","1.969,94","","-0,36%"
"22.01.2024","1.983,38","1.960,94","1.984,12","1.960,94","","2,01%"
"19.01.2024","1.944,39","1.934,09","1.944,39","1.914,47","","1,08%"
"18.01.2024","1.923,65","1.924,01","1.926,05","1.901,65","","0,55%"
"17.01.2024","1.913,17","1.899,18","1.914,21","1.898,24","","-0,73%"
"16.01.2024","1.927,30","1.934,64","1.939,81","1.921,81","","-1,21%"
"12.01.2024","1.950,96","1.977,88","1.983,81","1.947,50","","-0,23%"
"11.01.2024","1.955,46","1.963,11","1.964,23","1.934,32","","-0,75%"
"10.01.2024","1.970,26","1.965,47","1.971,25","1.953,00","","0,11%"
"09.01.2024","1.968,04","1.964,72","1.975,23","1.957,41","","-1,05%"
"08.01.2024","1.989,01","1.948,90","1.989,01","1.944,86","","1,94%"
"05.01.2024","1.951,14","1.943,50","1.967,99","1.941,77","","-0,34%"
"04.01.2024","1.957,73","1.964,35","1.970,54","1.956,70","","-0,08%"
"03.01.2024","1.959,20","1.995,17","1.995,17","1.958,03","","-2,66%"
"02.01.2024","2.012,80","2.012,75","2.032,49","2.003,41","","-0,70%"
"29.12.2023","2.027,07","2.054,23","2.056,62","2.027,07","","-1,52%"
"28.12.2023","2.058,34","2.058,18","2.068,85","2.053,64","","-0,38%"
"27.12.2023","2.066,21","2.063,59","2.071,78","2.056,37","","0,34%"
"26.12.2023","2.059,19","2.043,14","2.064,64","2.039,35","","1,24%"
"22.12.2023","2.033,96","2.028,22","2.042,47","2.025,75","","0,84%"
"21.12.2023","2.017,06","2.005,82","2.017,18","1.997,45","","1,73%"
"20.12.2023","1.982,84","2.016,87","2.039,81","1.982,56","","0,00%"
"19.12.2023","1.982,84","1.996,33","2.024,25","1.995,24","","0,02%"
"18.12.2023","1.982,42","1.991,61","1.996,51","1.980,75","","-0,14%"
"15.12.2023","1.985,13","2.005,15","2.009,08","1.975,13","","-0,77%"
"14.12.2023","2.000,51","1.966,88","2.008,66","1.966,88","","2,72%"
"13.12.2023","1.947,51","1.882,14","1.948,05","1.870,34","","3,52%"
"12.12.2023","1.881,27","1.883,18","1.887,95","1.871,01","","-0,13%"
"11.12.2023","1.883,68","1.879,66","1.885,42","1.873,58","","0,15%"
"08.12.2023","1.880,82","1.866,77","1.887,81","1.863,66","","0,67%"
"07.12.2023","1.868,25","1.854,53","1.868,25","1.848,78","","0,87%"
"06.12.2023","1.852,05","1.864,23","1.888,72","1.851,96","","-0,21%"
"05.12.2023","1.856,04","1.876,60","1.876,60","1.855,05","","-1,38%"
"04.12.2023","1.882,02","1.857,17","1.882,09","1.854,38","","1,04%"
"01.12.2023","1.862,64","1.806,13","1.863,66","1.800,81","","2,96%"
"30.11.2023","1.809,02","1.808,62","1.816,53","1.805,22","","0,29%"
"29.11.2023","1.803,81","1.804,23","1.827,06","1.801,91","","0,61%"
"28.11.2023","1.792,81","1.799,71","1.804,11","1.789,20","","-0,46%"
"27.11.2023","1.801,15","1.801,03","1.804,50","1.790,95","","-0,35%"
"24.11.2023","1.807,50","1.794,99","1.810,26","1.794,69","","0,67%"
"22.11.2023","1.795,54","1.792,51","1.803,12","1.789,88","","0,69%"
"21.11.2023","1.783,26","1.799,33","1.799,33","1.783,26","","-1,32%"
"20.11.2023","1.807,08","1.798,56","1.809,21","1.794,71","","0,52%"
"17.11.2023","1.797,77","1.784,86","1.798,44","1.784,86","","1,35%"
"16.11.2023","1.773,76","1.797,00","1.797,00","1.767,42","","-1,52%"
"15.11.2023","1.801,22","1.798,20","1.830,00","1.797,59","","0,16%"
"14.11.2023","1.798,32","1.741,74","1.798,32","1.741,74","","5,44%"
"13.11.2023","1.705,50","1.698,74","1.709,57","1.690,92","","0,01%"
"10.11.2023","1.705,32","1.692,77","1.709,24","1.684,20","","1,07%"
"09.11.2023","1.687,24","1.720,70","1.724,83","1.685,27","","-1,57%"
"08.11.2023","1.714,07","1.732,96","1.733,11","1.709,24","","-1,10%"
"07.11.2023","1.733,15","1.733,73","1.739,26","1.723,55","","-0,28%"
"06.11.2023","1.737,94","1.760,18","1.760,86","1.731,68","","-1,29%"
"03.11.2023","1.760,70","1.733,61","1.770,58","1.733,61","","2,71%"
