date;Valor_Real;Valor_Predicho;Modelo;Tipo_Mercado;Periodo;Version
1/07/2020;1,125;1,125;MLP;EUR;Training;Trial_10
2/07/2020;1,1238;1,1238;MLP;EUR;Training;Trial_10
6/07/2020;1,1308;1,1308;MLP;EUR;Training;Trial_10
7/07/2020;1,127;1,127;MLP;EUR;Training;Trial_10
8/07/2020;1,1329;1,1329;MLP;EUR;Training;Trial_10
9/07/2020;1,1281;1,1281;MLP;EUR;Training;Trial_10
10/07/2020;1,1298;1,1298;MLP;EUR;Training;Trial_10
13/07/2020;1,134;1,134;MLP;EUR;Training;Trial_10
14/07/2020;1,1396;1,1396;MLP;EUR;Training;Trial_10
15/07/2020;1,141;1,141;MLP;EUR;Training;Trial_10
16/07/2020;1,1383;1,1383;MLP;EUR;Training;Trial_10
17/07/2020;1,1426;1,1426;MLP;EUR;Training;Trial_10
20/07/2020;1,1444;1,1444;MLP;EUR;Training;Trial_10
21/07/2020;1,1526;1,1526;MLP;EUR;Training;Trial_10
22/07/2020;1,1568;1,1568;MLP;EUR;Training;Trial_10
23/07/2020;1,1594;1,1594;MLP;EUR;Training;Trial_10
24/07/2020;1,1654;1,1654;MLP;EUR;Training;Trial_10
27/07/2020;1,1751;1,1751;MLP;EUR;Training;Trial_10
28/07/2020;1,1714;1,1714;MLP;EUR;Training;Trial_10
29/07/2020;1,179;1,179;MLP;EUR;Training;Trial_10
30/07/2020;1,1846;1,1846;MLP;EUR;Training;Trial_10
31/07/2020;1,1774;1,1774;MLP;EUR;Training;Trial_10
3/08/2020;1,1761;1,1761;MLP;EUR;Training;Trial_10
4/08/2020;1,18;1,18;MLP;EUR;Training;Trial_10
5/08/2020;1,1861;1,1861;MLP;EUR;Training;Trial_10
6/08/2020;1,1875;1,1875;MLP;EUR;Training;Trial_10
7/08/2020;1,1786;1,1786;MLP;EUR;Training;Trial_10
10/08/2020;1,1736;1,1736;MLP;EUR;Training;Trial_10
11/08/2020;1,1739;1,1739;MLP;EUR;Training;Trial_10
12/08/2020;1,1782;1,1782;MLP;EUR;Training;Trial_10
13/08/2020;1,1812;1,1812;MLP;EUR;Training;Trial_10
14/08/2020;1,1841;1,1841;MLP;EUR;Training;Trial_10
17/08/2020;1,1869;1,1869;MLP;EUR;Training;Trial_10
18/08/2020;1,1929;1,1929;MLP;EUR;Training;Trial_10
19/08/2020;1,1836;1,1836;MLP;EUR;Training;Trial_10
20/08/2020;1,1859;1,1859;MLP;EUR;Training;Trial_10
21/08/2020;1,1795;1,1795;MLP;EUR;Training;Trial_10
24/08/2020;1,1787;1,1787;MLP;EUR;Training;Trial_10
25/08/2020;1,1833;1,1833;MLP;EUR;Training;Trial_10
26/08/2020;1,1829;1,1829;MLP;EUR;Training;Trial_10
27/08/2020;1,1821;1,1821;MLP;EUR;Training;Trial_10
28/08/2020;1,1903;1,1903;MLP;EUR;Training;Trial_10
31/08/2020;1,1936;1,1936;MLP;EUR;Training;Trial_10
1/09/2020;1,191;1,191;MLP;EUR;Training;Trial_10
2/09/2020;1,1853;1,1853;MLP;EUR;Training;Trial_10
3/09/2020;1,1849;1,1849;MLP;EUR;Training;Trial_10
4/09/2020;1,1838;1,1838;MLP;EUR;Training;Trial_10
8/09/2020;1,1779;1,1779;MLP;EUR;Training;Trial_10
9/09/2020;1,1802;1,1802;MLP;EUR;Training;Trial_10
10/09/2020;1,1813;1,1813;MLP;EUR;Training;Trial_10
11/09/2020;1,1845;1,1845;MLP;EUR;Training;Trial_10
14/09/2020;1,1868;1,1868;MLP;EUR;Training;Trial_10
15/09/2020;1,1845;1,1845;MLP;EUR;Training;Trial_10
16/09/2020;1,1814;1,1814;MLP;EUR;Training;Trial_10
17/09/2020;1,1847;1,1847;MLP;EUR;Training;Trial_10
18/09/2020;1,1837;1,1837;MLP;EUR;Training;Trial_10
21/09/2020;1,1769;1,1769;MLP;EUR;Training;Trial_10
22/09/2020;1,1706;1,1706;MLP;EUR;Training;Trial_10
23/09/2020;1,1659;1,1659;MLP;EUR;Training;Trial_10
24/09/2020;1,1672;1,1672;MLP;EUR;Training;Trial_10
25/09/2020;1,163;1,163;MLP;EUR;Training;Trial_10
28/09/2020;1,1664;1,1664;MLP;EUR;Training;Trial_10
29/09/2020;1,1742;1,1742;MLP;EUR;Training;Trial_10
30/09/2020;1,1718;1,1718;MLP;EUR;Training;Trial_10
1/10/2020;1,1747;1,1747;MLP;EUR;Training;Trial_10
2/10/2020;1,1713;1,1713;MLP;EUR;Training;Trial_10
5/10/2020;1,1781;1,1781;MLP;EUR;Training;Trial_10
6/10/2020;1,1734;1,1734;MLP;EUR;Training;Trial_10
7/10/2020;1,176;1,176;MLP;EUR;Training;Trial_10
8/10/2020;1,1758;1,1758;MLP;EUR;Training;Trial_10
9/10/2020;1,1824;1,1824;MLP;EUR;Training;Trial_10
12/10/2020;1,1813;1,1813;MLP;EUR;Training;Trial_10
13/10/2020;1,1744;1,1744;MLP;EUR;Training;Trial_10
14/10/2020;1,1746;1,1746;MLP;EUR;Training;Trial_10
15/10/2020;1,1706;1,1706;MLP;EUR;Training;Trial_10
16/10/2020;1,1718;1,1718;MLP;EUR;Training;Trial_10
19/10/2020;1,1766;1,1766;MLP;EUR;Training;Trial_10
20/10/2020;1,1821;1,1821;MLP;EUR;Training;Trial_10
21/10/2020;1,1861;1,1861;MLP;EUR;Training;Trial_10
22/10/2020;1,1816;1,1816;MLP;EUR;Training;Trial_10
23/10/2020;1,1859;1,1859;MLP;EUR;Training;Trial_10
26/10/2020;1,1808;1,1808;MLP;EUR;Training;Trial_10
27/10/2020;1,1795;1,1795;MLP;EUR;Training;Trial_10
28/10/2020;1,1744;1,1744;MLP;EUR;Training;Trial_10
29/10/2020;1,1674;1,1674;MLP;EUR;Training;Trial_10
30/10/2020;1,1647;1,1647;MLP;EUR;Training;Trial_10
2/11/2020;1,164;1,164;MLP;EUR;Training;Trial_10
3/11/2020;1,1711;1,1711;MLP;EUR;Training;Trial_10
4/11/2020;1,1722;1,1722;MLP;EUR;Training;Trial_10
5/11/2020;1,1821;1,1821;MLP;EUR;Training;Trial_10
6/11/2020;1,1872;1,1872;MLP;EUR;Training;Trial_10
9/11/2020;1,1813;1,1813;MLP;EUR;Training;Trial_10
10/11/2020;1,1814;1,1814;MLP;EUR;Training;Trial_10
11/11/2020;1,1777;1,1777;MLP;EUR;Training;Trial_10
12/11/2020;1,1804;1,1804;MLP;EUR;Training;Trial_10
13/11/2020;1,1832;1,1832;MLP;EUR;Training;Trial_10
16/11/2020;1,1853;1,1853;MLP;EUR;Training;Trial_10
17/11/2020;1,1861;1,1861;MLP;EUR;Training;Trial_10
